tracking_number,ship_date,????,????id,???,???,???
{61290989800520967341},5/25/2020,6/12/2020 2:12,1677,5.7,5.7,5.7
{61290989800520894555},5/18/2020,6/5/2020 2:26,1663,5.7,5.7,6.73
{61290989800520546812},4/28/2020,5/25/2020 7:55,1630,6.44,6.44,6.44
{61290989800520965774},5/25/2020,6/12/2020 4:00,1688,5.7,5.7,5.7
{61290989800520627573},5/5/2020,5/25/2020 7:30,1631,5.37,5.37,5.42
{61290989800520619196},5/4/2020,5/25/2020 7:59,1631,6.58,6.58,7.53
{61290989800520529549},4/27/2020,5/25/2020 7:51,1630,5.38,5.38,5.38
{61290989800520642477},5/6/2020,5/25/2020 7:31,1631,5.7,5.7,5.7
{61290989800521056723},6/4/2020,6/19/2020 2:40,1698,5.7,5.7,5.7
{61290989800521007312},5/28/2020,6/19/2020 2:26,1698,6.54,6.54,7.51
{61290989800520605304},5/4/2020,5/25/2020 7:53,1630,5.7,5.7,5.7
{61290989800520570862},4/30/2020,5/25/2020 7:44,1630,6.89,6.89,6.99
{61290989800521263381},6/15/2020,7/3/2020 5:55,1768,7.62,7.62,6.71
{61290989800520546065},4/28/2020,5/25/2020 7:30,1630,5.72,5.72,5.72
{61290989800520555722},4/29/2020,5/29/2020 5:23,1649,6.73,6.73,6.92
{61290989800520570497},4/30/2020,5/25/2020 7:36,1631,5.61,5.61,5.99
{61290989800520604048},5/4/2020,5/29/2020 5:27,1649,5.7,5.7,5.7
{61290989800520718981},5/13/2020,5/29/2020 6:02,1649,5.7,5.7,5.7
{61290989800521095272},6/9/2020,6/28/2020 2:30,1711,6.15,6.15,5.88
{61290989800520948333},5/22/2020,6/5/2020 2:16,1663,6.54,6.54,7.51
{61290989800520686594},5/11/2020,5/25/2020 7:57,1631,5.7,5.7,5.37
{61290989800520646932},5/6/2020,5/25/2020 7:58,1631,5.7,5.7,5.7
{61290989800521094756},6/9/2020,6/28/2020 2:45,1711,6.19,6.19,6.76
{61290989800521122015},6/13/2020,7/3/2020 2:59,1764,6.1,6.1,6.09
{61290989800521298321},6/22/2020,7/3/2020 5:43,1768,5.8,5.8,5.8
{61290989800520684408},5/11/2020,5/29/2020 5:46,1649,6.73,6.73,5.7
{61290989800520994774},5/27/2020,6/12/2020 4:10,1688,5.37,5.37,5.37
{61290989800520686631},5/11/2020,5/29/2020 5:47,1649,7.44,7.44,7.85
{61290989800520628624},5/5/2020,5/25/2020 7:58,1631,5.37,5.37,5.42
{61290989800521029680},6/1/2020,6/19/2020 2:32,1698,5.98,5.98,5.61
{61290989800521094923},6/9/2020,6/28/2020 3:14,1712,7.36,7.36,8.33
{61290989800520665490},5/8/2020,5/25/2020 7:37,1631,5.7,5.7,5.7
{61290989800520966672},5/25/2020,6/12/2020 2:07,1677,5.7,5.7,5.7
{61290989800521014747},5/29/2020,6/12/2020 1:46,1677,5.4,5.4,5.39
{61290989800520971676},5/25/2020,6/19/2020 2:32,1698,5.37,5.37,5.37
{61290989800521029116},6/1/2020,6/28/2020 2:29,1711,6.19,6.19,5.7
